,series_id,area_name,category,date,period,value,inflation_yoy
243,CUSR0000SA0,U.S. city average,All items,2017-04-01,M04,244.274,2.2101158197763926
244,CUSR0000SA0,U.S. city average,All items,2017-05-01,M05,244.069,1.8834765838610545
245,CUSR0000SA0,U.S. city average,All items,2017-06-01,M06,244.218,1.6634612982990626
246,CUSR0000SA0,U.S. city average,All items,2017-07-01,M07,244.28,1.740517532205188
247,CUSR0000SA0,U.S. city average,All items,2017-08-01,M08,245.205,1.9372674551539237
248,CUSR0000SA0,U.S. city average,All items,2017-09-01,M09,246.551,2.2286628851958756
249,CUSR0000SA0,U.S. city average,All items,2017-10-01,M10,246.657,2.0335813949640347
250,CUSR0000SA0,U.S. city average,All items,2017-11-01,M11,247.378,2.211332666738275
251,CUSR0000SA0,U.S. city average,All items,2017-12-01,M12,247.736,2.101493177050484
252,CUSR0000SA0,U.S. city average,All items,2018-01-01,M01,248.721,2.0938346605368974
253,CUSR0000SA0,U.S. city average,All items,2018-02-01,M02,249.3,2.2257577745702584
254,CUSR0000SA0,U.S. city average,All items,2018-03-01,M03,249.517,2.3592297531239037
255,CUSR0000SA0,U.S. city average,All items,2018-04-01,M04,250.275,2.4566675127111415
256,CUSR0000SA0,U.S. city average,All items,2018-05-01,M05,250.786,2.7520905973310805
257,CUSR0000SA0,U.S. city average,All items,2018-06-01,M06,251.152,2.8392665569286546
258,CUSR0000SA0,U.S. city average,All items,2018-07-01,M07,251.345,2.8921729163255305
259,CUSR0000SA0,U.S. city average,All items,2018-08-01,M08,251.735,2.663077832833749
260,CUSR0000SA0,U.S. city average,All items,2018-09-01,M09,252.183,2.2843144014828676
261,CUSR0000SA0,U.S. city average,All items,2018-10-01,M10,252.899,2.530639714259064
262,CUSR0000SA0,U.S. city average,All items,2018-11-01,M11,252.822,2.200680739596894
263,CUSR0000SA0,U.S. city average,All items,2018-12-01,M12,252.493,1.9201892337003867
264,CUSR0000SA0,U.S. city average,All items,2019-01-01,M01,252.441,1.4956517543753822
265,CUSR0000SA0,U.S. city average,All items,2019-02-01,M02,252.969,1.4717208182912112
266,CUSR0000SA0,U.S. city average,All items,2019-03-01,M03,254.147,1.8555849902010646
267,CUSR0000SA0,U.S. city average,All items,2019-04-01,M04,255.326,2.0181800019978047
268,CUSR0000SA0,U.S. city average,All items,2019-05-01,M05,255.371,1.828251975788131
269,CUSR0000SA0,U.S. city average,All items,2019-06-01,M06,255.423,1.7005638020003877
270,CUSR0000SA0,U.S. city average,All items,2019-07-01,M07,255.925,1.8221965823867592
271,CUSR0000SA0,U.S. city average,All items,2019-08-01,M08,256.118,1.7411166504458953
272,CUSR0000SA0,U.S. city average,All items,2019-09-01,M09,256.532,1.7245413053219139
273,CUSR0000SA0,U.S. city average,All items,2019-10-01,M10,257.387,1.7746214892111034
274,CUSR0000SA0,U.S. city average,All items,2019-11-01,M11,257.989,2.043730371565755
275,CUSR0000SA0,U.S. city average,All items,2019-12-01,M12,258.203,2.261448832244839
276,CUSR0000SA0,U.S. city average,All items,2020-01-01,M01,258.687,2.474241505936048
277,CUSR0000SA0,U.S. city average,All items,2020-02-01,M02,258.824,2.3145128454474806
278,CUSR0000SA0,U.S. city average,All items,2020-03-01,M03,257.989,1.5117235300829757
279,CUSR0000SA0,U.S. city average,All items,2020-04-01,M04,256.192,0.3391742321581015
280,CUSR0000SA0,U.S. city average,All items,2020-05-01,M05,255.942,0.22359625799326377
281,CUSR0000SA0,U.S. city average,All items,2020-06-01,M06,257.282,0.7278122956820621
282,CUSR0000SA0,U.S. city average,All items,2020-07-01,M07,258.604,1.0467910520660206
283,CUSR0000SA0,U.S. city average,All items,2020-08-01,M08,259.511,1.3247799842260433
284,CUSR0000SA0,U.S. city average,All items,2020-09-01,M09,260.149,1.4099605507305268
285,CUSR0000SA0,U.S. city average,All items,2020-10-01,M10,260.462,1.1946990329736895
286,CUSR0000SA0,U.S. city average,All items,2020-11-01,M11,260.927,1.138808243762357
287,CUSR0000SA0,U.S. city average,All items,2020-12-01,M12,261.56,1.3001398124731445
288,CUSR0000SA0,U.S. city average,All items,2021-01-01,M01,262.231,1.3699953998461467
289,CUSR0000SA0,U.S. city average,All items,2021-02-01,M02,263.161,1.6756560442617419
290,CUSR0000SA0,U.S. city average,All items,2021-03-01,M03,264.793,2.6373217462760223
473,CUSR0000SA0E,U.S. city average,Energy,2012-03-01,M03,249.742,4.024925128811763
474,CUSR0000SA0E,U.S. city average,Energy,2012-04-01,M04,249.677,0.6855474499651182
475,CUSR0000SA0E,U.S. city average,Energy,2012-05-01,M05,241.806,-3.5645917748779565
476,CUSR0000SA0E,U.S. city average,Energy,2012-06-01,M06,235.897,-3.924914675767921
477,CUSR0000SA0E,U.S. city average,Energy,2012-07-01,M07,233.568,-5.125778371725554
478,CUSR0000SA0E,U.S. city average,Energy,2012-08-01,M08,244.987,-0.7667692806221704
479,CUSR0000SA0E,U.S. city average,Energy,2012-09-01,M09,252.987,1.7851538925769406
480,CUSR0000SA0E,U.S. city average,Energy,2012-10-01,M10,256.017,3.7955849263140884
481,CUSR0000SA0E,U.S. city average,Energy,2012-11-01,M11,248.819,0.47609433047972605
482,CUSR0000SA0E,U.S. city average,Energy,2012-12-01,M12,244.708,0.5568043130760536
483,CUSR0000SA0E,U.S. city average,Energy,2013-01-01,M01,245.025,0.06084712262532932
484,CUSR0000SA0E,U.S. city average,Energy,2013-02-01,M02,255.696,2.731239302846955
485,CUSR0000SA0E,U.S. city average,Energy,2013-03-01,M03,246.595,-1.2601004236371893
486,CUSR0000SA0E,U.S. city average,Energy,2013-04-01,M04,240.473,-3.686362780712671
487,CUSR0000SA0E,U.S. city average,Energy,2013-05-01,M05,240.468,-0.5533361455050789
488,CUSR0000SA0E,U.S. city average,Energy,2013-06-01,M06,242.711,2.888548815796743
489,CUSR0000SA0E,U.S. city average,Energy,2013-07-01,M07,242.986,4.032230442526363
490,CUSR0000SA0E,U.S. city average,Energy,2013-08-01,M08,244.833,-0.06286047831108865
491,CUSR0000SA0E,U.S. city average,Energy,2013-09-01,M09,242.745,-4.048429365935791
492,CUSR0000SA0E,U.S. city average,Energy,2013-10-01,M10,241.954,-5.492994605826951
493,CUSR0000SA0E,U.S. city average,Energy,2013-11-01,M11,242.718,-2.4519831684879367
494,CUSR0000SA0E,U.S. city average,Energy,2013-12-01,M12,245.733,0.41886656750085294
495,CUSR0000SA0E,U.S. city average,Energy,2014-01-01,M01,250.34,2.1691664115906617
496,CUSR0000SA0E,U.S. city average,Energy,2014-02-01,M02,249.925,-2.256977035229335
497,CUSR0000SA0E,U.S. city average,Energy,2014-03-01,M03,249.961,1.3649911798698344
498,CUSR0000SA0E,U.S. city average,Energy,2014-04-01,M04,249.864,3.9052201286630783
499,CUSR0000SA0E,U.S. city average,Energy,2014-05-01,M05,249.213,3.636658515894009
500,CUSR0000SA0E,U.S. city average,Energy,2014-06-01,M06,249.714,2.885324521756316
501,CUSR0000SA0E,U.S. city average,Energy,2014-07-01,M07,248.744,2.3696838500983697
502,CUSR0000SA0E,U.S. city average,Energy,2014-08-01,M08,245.699,0.3537104883737152
503,CUSR0000SA0E,U.S. city average,Energy,2014-09-01,M09,241.61,-0.4675688479680251
504,CUSR0000SA0E,U.S. city average,Energy,2014-10-01,M10,237.061,-2.0222852277705705
505,CUSR0000SA0E,U.S. city average,Energy,2014-11-01,M11,229.016,-5.645234387231268
506,CUSR0000SA0E,U.S. city average,Energy,2014-12-01,M12,218.536,-11.067703564437824
507,CUSR0000SA0E,U.S. city average,Energy,2015-01-01,M01,199.926,-20.138212031636982
508,CUSR0000SA0E,U.S. city average,Energy,2015-02-01,M02,203.021,-18.76723016905072
509,CUSR0000SA0E,U.S. city average,Energy,2015-03-01,M03,205.757,-17.684358759966557
510,CUSR0000SA0E,U.S. city average,Energy,2015-04-01,M04,203.577,-18.52487753337816
511,CUSR0000SA0E,U.S. city average,Energy,2015-05-01,M05,208.973,-16.14683022153739
512,CUSR0000SA0E,U.S. city average,Energy,2015-06-01,M06,212.015,-15.096870820218333
513,CUSR0000SA0E,U.S. city average,Energy,2015-07-01,M07,211.623,-14.923375036181785
514,CUSR0000SA0E,U.S. city average,Energy,2015-08-01,M08,208.579,-15.10791659713715
515,CUSR0000SA0E,U.S. city average,Energy,2015-09-01,M09,197.246,-18.36182277223625
516,CUSR0000SA0E,U.S. city average,Energy,2015-10-01,M10,195.616,-17.482841968944697
517,CUSR0000SA0E,U.S. city average,Energy,2015-11-01,M11,195.114,-14.803332518251999
518,CUSR0000SA0E,U.S. city average,Energy,2015-12-01,M12,190.143,-12.992367390269798
519,CUSR0000SA0E,U.S. city average,Energy,2016-01-01,M01,185.235,-7.3482188409711435
520,CUSR0000SA0E,U.S. city average,Energy,2016-02-01,M02,176.401,-13.11194408460208
521,CUSR0000SA0E,U.S. city average,Energy,2016-03-01,M03,182.234,-11.43241785212653
522,CUSR0000SA0E,U.S. city average,Energy,2016-04-01,M04,186.713,-8.283843459722862
523,CUSR0000SA0E,U.S. city average,Energy,2016-05-01,M05,188.596,-9.751020466758863
524,CUSR0000SA0E,U.S. city average,Energy,2016-06-01,M06,192.899,-9.01634318326533
525,CUSR0000SA0E,U.S. city average,Energy,2016-07-01,M07,189.046,-10.668500115771916
526,CUSR0000SA0E,U.S. city average,Energy,2016-08-01,M08,188.772,-9.496162125621478
527,CUSR0000SA0E,U.S. city average,Energy,2016-09-01,M09,192.243,-2.536426594202168
528,CUSR0000SA0E,U.S. city average,Energy,2016-10-01,M10,195.979,0.18556764272861237
529,CUSR0000SA0E,U.S. city average,Energy,2016-11-01,M11,196.372,0.6447512736144079
530,CUSR0000SA0E,U.S. city average,Energy,2016-12-01,M12,199.513,4.927870076731722
531,CUSR0000SA0E,U.S. city average,Energy,2017-01-01,M01,205.496,10.937997678624445
532,CUSR0000SA0E,U.S. city average,Energy,2017-02-01,M02,203.544,15.387100980153168
533,CUSR0000SA0E,U.S. city average,Energy,2017-03-01,M03,202.183,10.946914406751752
534,CUSR0000SA0E,U.S. city average,Energy,2017-04-01,M04,203.792,9.147193821533595
535,CUSR0000SA0E,U.S. city average,Energy,2017-05-01,M05,198.724,5.3702093363591885
536,CUSR0000SA0E,U.S. city average,Energy,2017-06-01,M06,197.744,2.5116770952674727
537,CUSR0000SA0E,U.S. city average,Energy,2017-07-01,M07,195.729,3.5351184367826027
538,CUSR0000SA0E,U.S. city average,Energy,2017-08-01,M08,201.121,6.54175407369737
539,CUSR0000SA0E,U.S. city average,Energy,2017-09-01,M09,211.929,10.240164791435834
540,CUSR0000SA0E,U.S. city average,Energy,2017-10-01,M10,208.427,6.351700947550487
541,CUSR0000SA0E,U.S. city average,Energy,2017-11-01,M11,214.655,9.310390483368302
542,CUSR0000SA0E,U.S. city average,Energy,2017-12-01,M12,213.119,6.819605739976842
543,CUSR0000SA0E,U.S. city average,Energy,2018-01-01,M01,217.273,5.731011795850027
544,CUSR0000SA0E,U.S. city average,Energy,2018-02-01,M02,219.765,7.969284282513844
545,CUSR0000SA0E,U.S. city average,Energy,2018-03-01,M03,216.492,7.077251796639672
546,CUSR0000SA0E,U.S. city average,Energy,2018-04-01,M04,219.424,7.670566067362805
547,CUSR0000SA0E,U.S. city average,Energy,2018-05-01,M05,220.77,11.093778305589662
548,CUSR0000SA0E,U.S. city average,Energy,2018-06-01,M06,221.145,11.83398737761956
549,CUSR0000SA0E,U.S. city average,Energy,2018-07-01,M07,219.168,11.975231059270719
550,CUSR0000SA0E,U.S. city average,Energy,2018-08-01,M08,221.763,10.26347323253165
551,CUSR0000SA0E,U.S. city average,Energy,2018-09-01,M09,222.392,4.937030798050279
552,CUSR0000SA0E,U.S. city average,Energy,2018-10-01,M10,226.735,8.783890762713087
553,CUSR0000SA0E,U.S. city average,Energy,2018-11-01,M11,221.303,3.097062728564448
554,CUSR0000SA0E,U.S. city average,Energy,2018-12-01,M12,212.436,-0.3204782304721765
555,CUSR0000SA0E,U.S. city average,Energy,2019-01-01,M01,206.324,-5.039282377469812
556,CUSR0000SA0E,U.S. city average,Energy,2019-02-01,M02,208.336,-5.20055513844333
557,CUSR0000SA0E,U.S. city average,Energy,2019-03-01,M03,215.562,-0.429577074441545
558,CUSR0000SA0E,U.S. city average,Energy,2019-04-01,M04,222.974,1.61787224733847
559,CUSR0000SA0E,U.S. city average,Energy,2019-05-01,M05,219.848,-0.4176292068668763
560,CUSR0000SA0E,U.S. city average,Energy,2019-06-01,M06,213.979,-3.240407877184648
561,CUSR0000SA0E,U.S. city average,Energy,2019-07-01,M07,214.95,-1.9245510293473544
562,CUSR0000SA0E,U.S. city average,Energy,2019-08-01,M08,212.267,-4.28204885395671
563,CUSR0000SA0E,U.S. city average,Energy,2019-09-01,M09,212.052,-4.649447821864094
564,CUSR0000SA0E,U.S. city average,Energy,2019-10-01,M10,217.186,-4.211524466888661
565,CUSR0000SA0E,U.S. city average,Energy,2019-11-01,M11,219.77,-0.6927154173237526
566,CUSR0000SA0E,U.S. city average,Energy,2019-12-01,M12,219.718,3.4278559189591107
567,CUSR0000SA0E,U.S. city average,Energy,2020-01-01,M01,219.117,6.200442023225605
568,CUSR0000SA0E,U.S. city average,Energy,2020-02-01,M02,213.963,2.7009254281545214
569,CUSR0000SA0E,U.S. city average,Energy,2020-03-01,M03,202.995,-5.829877251092497
570,CUSR0000SA0E,U.S. city average,Energy,2020-04-01,M04,183.788,-17.574246324683585
571,CUSR0000SA0E,U.S. city average,Energy,2020-05-01,M05,179.61,-18.302645464138855
572,CUSR0000SA0E,U.S. city average,Energy,2020-06-01,M06,187.591,-12.332051276059797
573,CUSR0000SA0E,U.S. city average,Energy,2020-07-01,M07,191.566,-10.87880902535473
574,CUSR0000SA0E,U.S. city average,Energy,2020-08-01,M08,193.362,-8.906236014076608
575,CUSR0000SA0E,U.S. city average,Energy,2020-09-01,M09,195.995,-7.5721992718767
576,CUSR0000SA0E,U.S. city average,Energy,2020-10-01,M10,197.157,-9.22204930336209
577,CUSR0000SA0E,U.S. city average,Energy,2020-11-01,M11,198.576,-9.643718432907134
578,CUSR0000SA0E,U.S. city average,Energy,2020-12-01,M12,203.716,-7.282971809319205
579,CUSR0000SA0E,U.S. city average,Energy,2021-01-01,M01,210.822,-3.785648762989635
580,CUSR0000SA0E,U.S. city average,Energy,2021-02-01,M02,218.946,2.3289073344456845
581,CUSR0000SA0E,U.S. city average,Energy,2021-03-01,M03,229.886,13.247124313406733
764,CUSR0000SA0L1,U.S. city average,All items less food,2012-03-01,M03,228.24,2.476147715793031
765,CUSR0000SA0L1,U.S. city average,All items less food,2012-04-01,M04,228.609,2.147880715990036
766,CUSR0000SA0L1,U.S. city average,All items less food,2012-05-01,M05,228.028,1.5760167490756816
767,CUSR0000SA0L1,U.S. city average,All items less food,2012-06-01,M06,227.734,1.485739750445636
768,CUSR0000SA0L1,U.S. city average,All items less food,2012-07-01,M07,227.784,1.2692894202170457
769,CUSR0000SA0L1,U.S. city average,All items less food,2012-08-01,M08,229.264,1.6371785380213
770,CUSR0000SA0L1,U.S. city average,All items less food,2012-09-01,M09,230.513,2.008638161912435
771,CUSR0000SA0L1,U.S. city average,All items less food,2012-10-01,M10,231.165,2.232924693520122
772,CUSR0000SA0L1,U.S. city average,All items less food,2012-11-01,M11,230.647,1.8007918187555871
773,CUSR0000SA0L1,U.S. city average,All items less food,2012-12-01,M12,230.546,1.7589081969094256
774,CUSR0000SA0L1,U.S. city average,All items less food,2013-01-01,M01,231.023,1.6916101769521852
775,CUSR0000SA0L1,U.S. city average,All items less food,2013-02-01,M02,232.489,2.0772047524126425
776,CUSR0000SA0L1,U.S. city average,All items less food,2013-03-01,M03,231.692,1.5124430424114932
777,CUSR0000SA0L1,U.S. city average,All items less food,2013-04-01,M04,231.056,1.07038655520999
778,CUSR0000SA0L1,U.S. city average,All items less food,2013-05-01,M05,231.2,1.3910572385847253
779,CUSR0000SA0L1,U.S. city average,All items less food,2013-06-01,M06,231.757,1.766534641292039
780,CUSR0000SA0L1,U.S. city average,All items less food,2013-07-01,M07,232.252,1.9615073929687865
781,CUSR0000SA0L1,U.S. city average,All items less food,2013-08-01,M08,232.856,1.5667527392002167
782,CUSR0000SA0L1,U.S. city average,All items less food,2013-09-01,M09,232.947,1.055905740674068
783,CUSR0000SA0L1,U.S. city average,All items less food,2013-10-01,M10,233.055,0.8175978197391576
784,CUSR0000SA0L1,U.S. city average,All items less food,2013-11-01,M11,233.524,1.2473606853763641
785,CUSR0000SA0L1,U.S. city average,All items less food,2013-12-01,M12,234.205,1.5871019232604366
786,CUSR0000SA0L1,U.S. city average,All items less food,2014-01-01,M01,234.808,1.6383650112759218
787,CUSR0000SA0L1,U.S. city average,All items less food,2014-02-01,M02,234.964,1.0645664956191458
788,CUSR0000SA0L1,U.S. city average,All items less food,2014-03-01,M03,235.357,1.5818414101479439
789,CUSR0000SA0L1,U.S. city average,All items less food,2014-04-01,M04,235.742,2.028079772868896
790,CUSR0000SA0L1,U.S. city average,All items less food,2014-05-01,M05,236.079,2.1102941176470713
791,CUSR0000SA0L1,U.S. city average,All items less food,2014-06-01,M06,236.403,2.004685942603679
792,CUSR0000SA0L1,U.S. city average,All items less food,2014-07-01,M07,236.619,1.8802852074470744
793,CUSR0000SA0L1,U.S. city average,All items less food,2014-08-01,M08,236.488,1.5597622565018732
794,CUSR0000SA0L1,U.S. city average,All items less food,2014-09-01,M09,236.4,1.4823114270628102
795,CUSR0000SA0L1,U.S. city average,All items less food,2014-10-01,M10,236.284,1.3855098581879721
796,CUSR0000SA0L1,U.S. city average,All items less food,2014-11-01,M11,235.684,0.924958462513481
797,CUSR0000SA0L1,U.S. city average,All items less food,2014-12-01,M12,234.705,0.21348818342905584
798,CUSR0000SA0L1,U.S. city average,All items less food,2015-01-01,M01,232.969,-0.7831930768968709
799,CUSR0000SA0L1,U.S. city average,All items less food,2015-02-01,M02,233.611,-0.5758328935496548
800,CUSR0000SA0L1,U.S. city average,All items less food,2015-03-01,M03,234.411,-0.40194258084527146
801,CUSR0000SA0L1,U.S. city average,All items less food,2015-04-01,M04,234.707,-0.43903928871392717
802,CUSR0000SA0L1,U.S. city average,All items less food,2015-05-01,M05,235.571,-0.21518220595648785
803,CUSR0000SA0L1,U.S. city average,All items less food,2015-06-01,M06,236.22,-0.0774101851499287
804,CUSR0000SA0L1,U.S. city average,All items less food,2015-07-01,M07,236.623,0.001690481322280668
805,CUSR0000SA0L1,U.S. city average,All items less food,2015-08-01,M08,236.529,0.01733703190014424
806,CUSR0000SA0L1,U.S. city average,All items less food,2015-09-01,M09,235.792,-0.2571912013536348
807,CUSR0000SA0L1,U.S. city average,All items less food,2015-10-01,M10,236.022,-0.11088351306055566
808,CUSR0000SA0L1,U.S. city average,All items less food,2015-11-01,M11,236.388,0.2987050457392115
809,CUSR0000SA0L1,U.S. city average,All items less food,2015-12-01,M12,236.141,0.6118318740546469
810,CUSR0000SA0L1,U.S. city average,All items less food,2016-01-01,M01,235.989,1.2963098094596281
811,CUSR0000SA0L1,U.S. city average,All items less food,2016-02-01,M02,235.585,0.8449944565966483
812,CUSR0000SA0L1,U.S. city average,All items less food,2016-03-01,M03,236.534,0.9056742217728564
813,CUSR0000SA0L1,U.S. city average,All items less food,2016-04-01,M04,237.554,1.2130017425982187
814,CUSR0000SA0L1,U.S. city average,All items less food,2016-05-01,M05,238.265,1.143604263682696
815,CUSR0000SA0L1,U.S. city average,All items less food,2016-06-01,M06,239.059,1.2018457370247981
816,CUSR0000SA0L1,U.S. city average,All items less food,2016-07-01,M07,238.924,0.9724329418526523
817,CUSR0000SA0L1,U.S. city average,All items less food,2016-08-01,M08,239.423,1.2235286159413938
818,CUSR0000SA0L1,U.S. city average,All items less food,2016-09-01,M09,240.147,1.8469668182126586
819,CUSR0000SA0L1,U.S. city average,All items less food,2016-10-01,M10,240.792,2.0209980425553553
820,CUSR0000SA0L1,U.S. city average,All items less food,2016-11-01,M11,241.133,2.007293094404128
821,CUSR0000SA0L1,U.S. city average,All items less food,2016-12-01,M12,241.84,2.4133886110417224
822,CUSR0000SA0L1,U.S. city average,All items less food,2017-01-01,M01,242.928,2.9403912894244932
823,CUSR0000SA0L1,U.S. city average,All items less food,2017-02-01,M02,243.121,3.1988454273404576
824,CUSR0000SA0L1,U.S. city average,All items less food,2017-03-01,M03,242.924,2.701514370027147
825,CUSR0000SA0L1,U.S. city average,All items less food,2017-04-01,M04,243.456,2.484487737524943
826,CUSR0000SA0L1,U.S. city average,All items less food,2017-05-01,M05,243.151,2.050657880930906
827,CUSR0000SA0L1,U.S. city average,All items less food,2017-06-01,M06,243.348,1.7941177700902422
828,CUSR0000SA0L1,U.S. city average,All items less food,2017-07-01,M07,243.342,1.849123570675193
829,CUSR0000SA0L1,U.S. city average,All items less food,2017-08-01,M08,244.377,2.069141227033322
830,CUSR0000SA0L1,U.S. city average,All items less food,2017-09-01,M09,245.866,2.3814580236272143
831,CUSR0000SA0L1,U.S. city average,All items less food,2017-10-01,M10,245.95,2.1420977441110933
832,CUSR0000SA0L1,U.S. city average,All items less food,2017-11-01,M11,246.768,2.336884623838298
833,CUSR0000SA0L1,U.S. city average,All items less food,2017-12-01,M12,247.112,2.1799536883890136
834,CUSR0000SA0L1,U.S. city average,All items less food,2018-01-01,M01,248.169,2.157429361786223
835,CUSR0000SA0L1,U.S. city average,All items less food,2018-02-01,M02,248.838,2.3515039836131013
836,CUSR0000SA0L1,U.S. city average,All items less food,2018-03-01,M03,249.071,2.53042103703216
837,CUSR0000SA0L1,U.S. city average,All items less food,2018-04-01,M04,249.851,2.6267580178759298
838,CUSR0000SA0L1,U.S. city average,All items less food,2018-05-01,M05,250.434,2.995258090651487
839,CUSR0000SA0L1,U.S. city average,All items less food,2018-06-01,M06,250.806,3.0647467823857077
840,CUSR0000SA0L1,U.S. city average,All items less food,2018-07-01,M07,250.953,3.12769682175702
841,CUSR0000SA0L1,U.S. city average,All items less food,2018-08-01,M08,251.353,2.854605793507581
842,CUSR0000SA0L1,U.S. city average,All items less food,2018-09-01,M09,251.82,2.421644310315374
843,CUSR0000SA0L1,U.S. city average,All items less food,2018-10-01,M10,252.671,2.7326692417158016
844,CUSR0000SA0L1,U.S. city average,All items less food,2018-11-01,M11,252.488,2.3179666731504955
